GRHL1	Digestive tract	+	hg19
GRHL2	Digestive tract,Lung	+	hg19
GRHL3	Epidermis	+	hg19
GTF2B	Lung	+	hg19
GTF2F1	Pluripotent stem cell,Uterus	+	hg19
GTF2I	Pluripotent stem cell	+	hg19
GZF1	Digestive tract	+	hg19
HAND1	Digestive tract	+	hg19
HCFC1	Kidney,Uterus	+	hg19
HDAC1	Prostate	+	hg19
HDAC2	Breast,Liver,Pluripotent stem cell,Prostate	+	hg19
HDAC3	Prostate	+	hg19
HDAC6	Pluripotent stem cell	+	hg19
HDAC8	-	+	hg19
HES4	Digestive tract	+	hg19
HES5	Digestive tract	+	hg19
HES7	Digestive tract	+	hg19
HESX1	Digestive tract	+	hg19
HEY1	Digestive tract,Liver	+	hg19
HEYL	Digestive tract	+	hg19
HHEX	Digestive tract	+	hg19
HIC2	Digestive tract	+	hg19
HIF1A	Breast,Cardiovascular	+	hg19
HIRA	Lung,Uterus	+	hg19
HIVEP3	Digestive tract	+	hg19
HMGN1	-	+	hg19
HMGN3	-	+	hg19
HNF1A	Digestive tract	+	hg19
HNF1B	Digestive tract	+	hg19
HNF4A	Digestive tract,Liver	+	hg19
HNF4G	Digestive tract,Liver	+	hg19
HNRNPL	Uterus	+	hg19
HOXA11	Digestive tract	+	hg19
HOXA13	Digestive tract	+	hg19
HOXA4	Digestive tract	+	hg19
HOXA5	Digestive tract	+	hg19
HOXA6	Digestive tract	+	hg19
HOXA9	Digestive tract	+	hg19
HOXB1	Digestive tract	+	hg19
HOXB2	Digestive tract	+	hg19
HOXB4	Digestive tract	+	hg19
HOXB5	Digestive tract	+	hg19
HOXB6	Digestive tract	+	hg19
HOXB7	Digestive tract	+	hg19
HOXB8	Digestive tract	+	hg19
HOXC11	Digestive tract	+	hg19
HOXC13	Digestive tract	+	hg19
HOXC8	Digestive tract	+	hg19
HOXD1	Digestive tract	+	hg19
HOXD11	Digestive tract	+	hg19
HOXD13	Digestive tract	+	hg19
HOXD4	Digestive tract	+	hg19
HOXD9	Digestive tract	+	hg19
HSF1	Adipocyte,Breast,Digestive tract,Liver,Lung	+	hg19
HSF2	-	+	hg19
ICE1	Digestive tract	+	hg19
ICE2	Digestive tract	+	hg19
ID1	Digestive tract	+	hg19
ID2	Digestive tract	+	hg19
ID3	Digestive tract	+	hg19
ID4	Digestive tract	+	hg19
IGF1	Epidermis	+	hg19
IKZF1	-	+	hg19
IKZF5	Digestive tract	+	hg19
ING2	Digestive tract	+	hg19
ING5	Digestive tract	+	hg19
INO80	-	+	hg19
IRF1	Digestive tract	+	hg19
IRF2	Digestive tract	+	hg19
IRF3	Digestive tract,Liver,Uterus	+	hg19
IRF4	Digestive tract	+	hg19
IRF5	-	+	hg19
IRF8	Digestive tract	+	hg19
IRF9	Digestive tract	+	hg19
IRX2	Digestive tract	+	hg19
IRX5	Digestive tract	+	hg19
ISL2	Digestive tract	+	hg19
JARID2	Pluripotent stem cell	+	hg19
JAZF1	Digestive tract	+	hg19
JMJD6	Kidney,Uterus	+	hg19
JUN	Breast,Cardiovascular,Digestive tract,Liver,Pluripotent stem cell,Uterus	+	hg19
JUNB	Digestive tract	+	hg19
JUND	Breast,Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Prostate,Uterus	+	hg19
KAT2A	Uterus	+	hg19
KAT2B	-	+	hg19
KAT5	-	+	hg19
KAT7	Digestive tract	+	hg19
KAT8	-	+	hg19
KCMF1	Digestive tract	+	hg19
KDM1A	Epidermis,Pluripotent stem cell,Prostate,Uterus	+	hg19
KDM3A	-	+	hg19
KDM4A	Pluripotent stem cell	+	hg19
KDM4C	Digestive tract	+	hg19
KDM5A	Pluripotent stem cell	+	hg19
KDM5B	Breast,Pluripotent stem cell	+	hg19
KDM5C	Pluripotent stem cell	+	hg19
KDM6B	Epidermis	+	hg19
KLF1	-	+	hg19
KLF11	Adipocyte,Digestive tract	+	hg19
KLF13	Digestive tract	+	hg19
KLF15	Digestive tract	+	hg19
KLF4	Breast,Epidermis,Pluripotent stem cell	+	hg19
KLF5	Digestive tract	+	hg19
KLF6	Digestive tract	+	hg19
KMT2A	-	+	hg19
KMT2D	Digestive tract	+	hg19
L3MBTL2	-	+	hg19
LCOR	Digestive tract	+	hg19
LCORL	Digestive tract	+	hg19
LDB1	-	+	hg19
LHX2	Others	+	hg19
LHX4	Digestive tract	+	hg19
LHX5	Digestive tract	+	hg19
LHX6	Digestive tract	+	hg19
LIN9	Uterus	+	hg19
LMNA	Epidermis	+	hg19
LMNB1	Lung	+	hg19
LMO1	-	+	hg19
LMO2	-	+	hg19
LMO3	-	+	hg19
LRWD1	Uterus	+	hg19
LYL1	-	+	hg19
MAFB	Digestive tract,Epidermis	+	hg19
MAFF	Digestive tract,Liver	+	hg19
MAFG	Digestive tract	+	hg19
MAFK	Digestive tract,Liver,Lung,Pluripotent stem cell,Uterus	+	hg19
MAX	Breast,Cardiovascular,Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
MAZ	Liver,Lung,Uterus	+	hg19
MBD2	Breast	+	hg19
MBD3	Breast	+	hg19
MBD4	Liver	+	hg19
MECP2	Digestive tract,Lung	+	hg19
MED1	Adipocyte,Breast,Digestive tract,Lung,Muscle,Neural	+	hg19
MED12	Prostate	+	hg19
MEF2A	Neural	+	hg19
MEF2C	Cardiovascular	+	hg19
MEIS1	-	+	hg19
MEOX2	Digestive tract	+	hg19
MITF	Digestive tract,Epidermis,Others	+	hg19
MIXL1	Digestive tract	+	hg19
MLLT3	Uterus	+	hg19
MSC	Digestive tract	+	hg19
MTA3	-	+	hg19
MTF1	Digestive tract	+	hg19
MXD3	Digestive tract	+	hg19
MXI1	Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
MYB	-	+	hg19
MYBL1	Digestive tract	+	hg19
MYBL2	Liver,Uterus	+	hg19
MYC	Breast,Cardiovascular,Digestive tract,Epidermis,Kidney,Liver,Lung,Neural,Others,Pluripotent stem cell,Uterus	+	hg19
MYF6	Digestive tract	+	hg19
MYH11	-	+	hg19
MYNN	Digestive tract	+	hg19
MYOD1	Digestive tract,Muscle	+	hg19
NANOG	Pluripotent stem cell	+	hg19
NCOA1	Breast,Digestive tract	+	hg19
NCOA3	Breast,Digestive tract	+	hg19
NCOR1	Digestive tract,Kidney	+	hg19
NCOR2	Digestive tract	+	hg19
NELFA	Uterus	+	hg19
NELFE	-	+	hg19
NEUROD2	Digestive tract	+	hg19
NFAT5	Digestive tract	+	hg19
NFATC1	Cardiovascular	+	hg19
NFE2L1	Digestive tract	+	hg19
NFE2L2	-	+	hg19
NFE2L3	Digestive tract	+	hg19
NFIB	Digestive tract	+	hg19
NFIC	Liver,Neural,Uterus	+	hg19
NFKBIA	Epidermis	+	hg19
NFYA	Digestive tract,Uterus	+	hg19
NFYB	Digestive tract,Uterus	+	hg19
NFYC	Digestive tract	+	hg19
NHLH1	Digestive tract	+	hg19
NIPBL	Digestive tract	+	hg19
NKX2-1	Lung	+	hg19
NKX2-3	Digestive tract	+	hg19
NKX2-8	Digestive tract	+	hg19
NKX3-1	Prostate	+	hg19
NKX6-1	Digestive tract	+	hg19
NME1	Lung	+	hg19
NOS2	Epidermis	+	hg19
NOTCH1	-	+	hg19
NPAT	Digestive tract	+	hg19
NR1D1	Digestive tract	+	hg19
NR1H2	Digestive tract	+	hg19
NR1H3	Adipocyte	+	hg19
NR1H4	Liver	+	hg19
NR1I2	Digestive tract	+	hg19
NR2C2	Liver,Uterus	+	hg19
NR2E3	Digestive tract	+	hg19
NR2F1	Pluripotent stem cell	+	hg19
NR2F2	Breast,Liver,Pluripotent stem cell,Uterus	+	hg19
NR2F6	Digestive tract	+	hg19
NR3C1	Kidney,Liver,Lung,Others,Prostate,Uterus	+	hg19
NR3C2	Digestive tract	+	hg19
NR4A1	Digestive tract	+	hg19
NR4A2	Digestive tract	+	hg19
NR5A1	Others	+	hg19
NR5A2	Breast,Digestive tract	+	hg19
NRF1	Breast,Liver,Neural,Pluripotent stem cell,Uterus	+	hg19
NUP98	Lung,Pluripotent stem cell	+	hg19
ORC1	Uterus	+	hg19
OTX2	Others,Pluripotent stem cell	+	hg19
OVOL2	Digestive tract	+	hg19
PAF1	Lung	+	hg19
PALB2	Breast	+	hg19
PARP1	Breast	+	hg19
PAX5	-	+	hg19
PAX6	Others	+	hg19
PBX1	Breast,Digestive tract	+	hg19
PBX2	Digestive tract	+	hg19
PBX3	Digestive tract,Lung,Neural	+	hg19
PCF11	Digestive tract	+	hg19
PCGF2	Others	+	hg19
PDX1	Pluripotent stem cell	+	hg19
PGR	Breast,Cardiovascular,Muscle	+	hg19
PHF6	-	+	hg19
PHF8	Neural,Pluripotent stem cell,Uterus	+	hg19
PIAS4	Lung	+	hg19
PLAG1	Digestive tract	+	hg19
PML	Breast	+	hg19
POU2F1	Uterus	+	hg19
POU2F2	-	+	hg19
POU5F1	Epidermis,Pluripotent stem cell	+	hg19
PPARA	Digestive tract	+	hg19
PPARG	Adipocyte,Cardiovascular,Digestive tract	+	hg19
PPARGC1A	Liver	+	hg19
PRAME	-	+	hg19
PRDM1	Uterus	+	hg19
PRDM14	Pluripotent stem cell	+	hg19
PRDM4	Digestive tract	+	hg19
PRKCQ	Breast	+	hg19
PRKDC	Breast,Others	+	hg19
PROX1	Digestive tract	+	hg19
RAD21	Breast,Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
RARA	-	+	hg19
RB1	Lung,Uterus	+	hg19
RBBP5	Pluripotent stem cell	+	hg19
RBL1	Lung	+	hg19
RBL2	Lung	+	hg19
RBPJ	Digestive tract	+	hg19
RCOR1	Digestive tract,Epidermis,Liver,Lung,Uterus	+	hg19
RELA	Cardiovascular,Digestive tract,Lung,Others,Uterus	+	hg19
RELB	Digestive tract	+	hg19
REST	Breast,Digestive tract,Liver,Lung,Neural,Others,Pancreas,Pluripotent stem cell,Uterus	+	hg19
RFX2	Digestive tract	+	hg19
RFX5	Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
RFX7	Digestive tract	+	hg19
RING1	Breast,Epidermis,Prostate	+	hg19
RLF	Digestive tract	+	hg19
RNF2	Breast,Epidermis,Kidney,Pluripotent stem cell,Prostate	+	hg19
RUNX1	Digestive tract,Prostate	+	hg19
RUNX1T1	-	+	hg19
RUNX3	-	+	hg19
RXRA	Breast,Digestive tract,Liver,Neural,Pluripotent stem cell	+	hg19
RYBP	Kidney	+	hg19
SALL4	Digestive tract	+	hg19
SAP30	Pluripotent stem cell	+	hg19
SCML2	Kidney	+	hg19
SETDB1	Epidermis,Others	+	hg19
SFMBT1	Uterus	+	hg19
SFPQ	Breast,Prostate	+	hg19
SIN3A	Breast,Digestive tract,Liver,Lung,Neural,Pancreas,Pluripotent stem cell	+	hg19
SIRT3	Others	+	hg19
SIRT6	Pluripotent stem cell	+	hg19
SIX5	Lung,Pluripotent stem cell	+	hg19
SKI	Digestive tract	+	hg19
SMAD1	-	+	hg19
SMAD2	Pluripotent stem cell	+	hg19
SMAD3	Liver,Lung,Pluripotent stem cell	+	hg19
SMAD4	Lung,Pluripotent stem cell	+	hg19
SMAD5	Digestive tract	+	hg19
SMARCA4	Pluripotent stem cell,Uterus	+	hg19
SMARCB1	Pluripotent stem cell,Uterus	+	hg19
SMARCC1	Breast,Uterus	+	hg19
SMARCC2	Uterus	+	hg19
SMC1A	Pluripotent stem cell	+	hg19
SMC3	Digestive tract,Liver,Neural,Pluripotent stem cell,Uterus	+	hg19
SMC4	Uterus	+	hg19
SNAI2	Epidermis	+	hg19
SNAPC1	Breast,Lung	+	hg19
SNAPC2	Lung	+	hg19
SNAPC4	Breast,Digestive tract,Lung	+	hg19
SNAPC5	Lung	+	hg19
SOX11	-	+	hg19
SOX2	Digestive tract,Epidermis,Lung,Neural,Others,Pluripotent stem cell	+	hg19
SOX9	Digestive tract	+	hg19
SP1	Digestive tract,Liver,Lung,Pluripotent stem cell	+	hg19
SP2	Liver,Pluripotent stem cell	+	hg19
SP4	Pluripotent stem cell	+	hg19
SPDEF	Breast	+	hg19
SPI1	-	+	hg19
SRCAP	-	+	hg19
SREBF1	Liver	+	hg19
SREBF2	Liver	+	hg19
SRF	Breast,Digestive tract,Liver,Pluripotent stem cell,Uterus	+	hg19
SSRP1	Others	+	hg19
STAG1	Digestive tract	+	hg19
STAG2	Digestive tract	+	hg19
STAT1	Digestive tract,Uterus	+	hg19
STAT2	Digestive tract	+	hg19
STAT3	Breast,Uterus	+	hg19
STAT4	Digestive tract	+	hg19
STAT5A	Digestive tract	+	hg19
STAT5B	-	+	hg19
STAT6	Digestive tract	+	hg19
SUMO1	Lung,Uterus	+	hg19
SUMO2	Kidney,Lung	+	hg19
SUPT20H	Uterus	+	hg19
SUPT5H	Uterus	+	hg19
SUZ12	Pluripotent stem cell,Prostate	+	hg19
T	Others	+	hg19
TAF1	Breast,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
TAF2	Pluripotent stem cell	+	hg19
TAF3	Digestive tract	+	hg19
TAF7	Pluripotent stem cell	+	hg19
TAL1	Cardiovascular,Digestive tract	+	hg19
TBL1X	Kidney	+	hg19
TBL1XR1	-	+	hg19
TBP	Liver,Pluripotent stem cell,Uterus	+	hg19
TBX21	-	+	hg19
TCF12	Breast,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
TCF3	-	+	hg19
TCF4	Digestive tract	+	hg19
TCF7L1	Digestive tract	+	hg19
TCF7L2	Breast,Digestive tract,Kidney,Liver,Pancreas,Prostate,Uterus	+	hg19
TCFL5	Digestive tract	+	hg19
TCP1	Digestive tract,Epidermis,Lung,Others,Prostate	+	hg19
TDRD3	Breast	+	hg19
TEAD4	Breast,Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
TERF1	Digestive tract	+	hg19
TERF2	Digestive tract	+	hg19
TET3	Kidney	+	hg19
TFAM	Digestive tract,Uterus	+	hg19
TFAP2A	Breast,Digestive tract,Pluripotent stem cell,Uterus	+	hg19
TFAP2C	Breast,Epidermis,Uterus	+	hg19
TFAP4	Digestive tract,Prostate	+	hg19
TFCP2	Digestive tract	+	hg19
THAP1	-	+	hg19
THAP11	Uterus	+	hg19
THAP4	Digestive tract	+	hg19
TLE3	Breast	+	hg19
TLX1	Digestive tract	+	hg19
TOE1	Digestive tract	+	hg19
TP53	Breast,Digestive tract,Epidermis,Lung,Others,Pluripotent stem cell	+	hg19
TP73	Others	+	hg19
TRIM24	Breast	+	hg19
TRIM28	Kidney,Others,Pluripotent stem cell	+	hg19
TRRAP	Uterus	+	hg19
TSHZ1	Digestive tract	+	hg19
TTF2	Uterus	+	hg19
UBP1	Digestive tract	+	hg19
UBTF	-	+	hg19
USF1	Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
USF2	Liver,Pluripotent stem cell,Uterus	+	hg19
VDR	Digestive tract,Liver	+	hg19
WDR5	Epidermis,Others,Prostate	+	hg19
WHSC1	Digestive tract	+	hg19
WRNIP1	-	+	hg19
XBP1	Breast	+	hg19
XRCC4	-	+	hg19
XRN2	Uterus	+	hg19
YBX1	Digestive tract	+	hg19
YY1	Digestive tract,Liver,Lung,Neural,Pluripotent stem cell,Uterus	+	hg19
ZBTB10	Digestive tract	+	hg19
ZBTB17	Breast,Digestive tract,Others,Uterus	+	hg19
ZBTB2	Digestive tract	+	hg19
ZBTB24	Digestive tract	+	hg19
ZBTB33	Digestive tract,Liver,Lung,Neural	+	hg19
ZBTB39	Digestive tract	+	hg19
ZBTB4	Digestive tract	+	hg19
ZBTB44	Digestive tract	+	hg19
ZBTB7A	Liver,Uterus	+	hg19
ZC3H11A	-	+	hg19
