gene_id	day1_1	day1_2	day1_3	day60_1	day60_2	day60_3
FBgn0000576	63	79	4	16	15	25
FBgn0000577	115	94	29	11	15	46
FBgn0000578	3451	2209	1424	1362	1126	1380
FBgn0000581	1139	1267	3555	3551	2579	456
FBgn0000588	112	187	1884	2010	1514	45
FBgn0000592	545	647	1692	1091	2297	218
FBgn0000611	1594	1961	3675	3256	2945	638
FBgn0000617	180	203	817	819	629	72
FBgn0000618	136	149	536	690	646	54
FBgn0000625	57	58	17	19	32	23
FBgn0000629	438	420	1993	1880	1584	175
FBgn0000633	392	332	36	40	38	157
FBgn0000635	1739	1557	823	484	916	696
FBgn0000636	1199	1350	857	619	1066	480
FBgn0000639	4813	5482	0	0	2	1925
FBgn0000640	2352	2710	2	6	5	941
FBgn0000644	10	3	19	29	15	4
FBgn0000658	97	248	4	6	2	39
FBgn0000659	751	735	485	336	533	300
FBgn0000662	1030	1154	3694	3499	2715	412
FBgn0000667	20096	20231	3870	3373	3032	8038
FBgn0000709	569	657	1945	1805	1481	228
FBgn0000711	2417	2285	1482	1374	1202	967
FBgn0000719	783	793	1334	1148	1059	313
FBgn0000723	1812	1849	741	562	934	725
FBgn0000808	30	17	342	343	245	12
FBgn0000810	316	300	1116	1092	779	126
FBgn0000826	27	52	2129	2618	2000	11
FBgn0000927	91	203	8303	8510	6788	36
FBgn0000996	295	347	6714	5891	4638	118
FBgn0001075	204	325	16	15	23	82
FBgn0001077	11	13	5	4	4	4
FBgn0001078	422	631	1806	1845	1580	169
FBgn0001079	175	186	816	747	622	70
FBgn0001083	520	534	21	19	33	208
FBgn0001084	102	81	554	534	461	41
FBgn0001085	347	340	1199	1352	992	139
FBgn0001086	259	267	3864	3754	2758	103
FBgn0001087	925	960	2743	2564	2038	370
FBgn0001089	242	315	183	75	143	97
FBgn0001090	2603	2672	445	406	574	1041
FBgn0001091	58450	71351	20504	19708	18685	23380
FBgn0001092	18562	20282	44020	38225	35420	7425
FBgn0001099	79	39	34	23	34	31
FBgn0001104	1133	1183	4008	3958	3212	453
FBgn0001105	3616	4339	6510	6359	5560	1447
FBgn0001108	1443	1631	3172	2805	2553	577
FBgn0001114	5464	4391	629	286	551	2186
FBgn0001120	104	163	6559	7924	6269	42
FBgn0001122	1741	1643	1436	1167	1030	696
FBgn0001123	1369	1274	522	454	670	548
FBgn0001128	55648	63719	9041	6892	8689	22259
FBgn0001133	460	480	1098	1153	1141	184
FBgn0001134	43	79	16	22	39	17
FBgn0001138	75	104	6	3	11	30
