mm9	All antigens	Cardiovascular	05	1864556
mm9	All antigens	Cardiovascular	10	1078887
mm9	All antigens	Cardiovascular	20	565341
mm9	All antigens	Cardiovascular	50	333825
mm9	All antigens	Digestive tract	05	1796386
mm9	All antigens	Digestive tract	10	1060968
mm9	All antigens	Digestive tract	20	509734
mm9	All antigens	Digestive tract	50	268117
ce10	RNA polymerase	Embryo	50	4351
mm9	All antigens	Embryonic fibroblast	05	8450320
mm9	All antigens	Embryonic fibroblast	10	4887756
mm9	All antigens	Embryonic fibroblast	20	2563363
mm9	All antigens	Embryonic fibroblast	50	1553430
mm9	All antigens	Embryo	05	5784984
mm9	All antigens	Embryo	10	3071686
mm9	All antigens	Embryo	20	1575778
mm9	All antigens	Embryo	50	921660
mm9	All antigens	Epidermis	05	286947
mm9	All antigens	Epidermis	10	104905
ce10	RNA polymerase	Larvae	05	44992
mm9	All antigens	Epidermis	20	36455
mm9	All antigens	Epidermis	50	15999
mm9	All antigens	Gonad	05	4252844
mm9	All antigens	Gonad	10	2731517
mm9	All antigens	Gonad	20	1393673
mm9	All antigens	Gonad	50	635861
mm9	All antigens	Kidney	05	891392
mm9	All antigens	Kidney	10	573354
mm9	All antigens	Kidney	20	331867
mm9	All antigens	Kidney	50	202570
ce10	RNA polymerase	Larvae	10	20160
mm9	All antigens	Liver	05	10848995
mm9	All antigens	Liver	10	6677698
mm9	All antigens	Liver	20	3840150
mm9	All antigens	Liver	50	2843466
mm9	All antigens	Lung	05	955837
mm9	All antigens	Lung	10	560666
mm9	All antigens	Lung	20	298344
mm9	All antigens	Lung	50	166710
mm9	All antigens	Muscle	05	1970081
mm9	All antigens	Muscle	10	1077815
ce10	RNA polymerase	Larvae	20	9140
mm9	All antigens	Muscle	20	551849
mm9	All antigens	Muscle	50	345110
mm9	All antigens	Neural	05	7104823
mm9	All antigens	Neural	10	3905249
mm9	All antigens	Neural	20	1972909
mm9	All antigens	Neural	50	1138232
mm9	All antigens	No description	05	8592557
mm9	All antigens	No description	10	4919697
mm9	All antigens	No description	20	2525581
mm9	All antigens	No description	50	1497138
ce10	RNA polymerase	Larvae	50	5945
mm9	All antigens	Others	05	2201925
mm9	All antigens	Others	10	1229355
mm9	All antigens	Others	20	628362
mm9	All antigens	Others	50	351953
mm9	All antigens	Pluripotent stem cell	05	24881536
mm9	All antigens	Pluripotent stem cell	10	13471440
mm9	All antigens	Pluripotent stem cell	20	6668372
