gene_name	wt_1	wt_2	wt_3	del_1	del_2	del_3
SUP35	7895	11035	8119	15476	16966	21692
ARG82	496	707	634	575	599	877
HMO1	3241	4128	3449	4269	4789	7262
NGG1	1820	2444	2167	1984	1917	3138
SDH4	144	211	157	134	122	216
CDC1	2188	2676	2633	2046	2226	3001
ATC1	778	1078	824	1636	1828	2371
UPS3	275	419	400	470	484	536
CCT6	4816	7163	4935	7911	8295	12053
RVB1	4403	7353	5180	7605	8221	8643
NUP42	526	604	575	465	536	662
CBS2	828	902	970	1058	1105	1340
VPS64	1245	1547	1645	1415	1331	1748
UME6	472	505	498	414	428	734
YDR210C-C	0	0	0	0	0	0
YDR210C-D	31	29	29	24	18	30
TCP1	6235	9512	6456	11193	12539	14273
UPC2	1091	1412	1199	1509	1640	2627
HTB1	5619	5000	5964	5056	6615	6477
HTA1	9257	14115	11404	10025	10604	12015
ADK1	7661	10473	8871	7345	8996	11246
SIR4	1340	1545	1310	1355	1433	2069
HEM1	2044	2566	2199	2610	2861	4874
LYS4	1724	2549	1717	2290	2555	4033
PRP42	746	875	830	976	998	1198
MRPL7	913	1102	1094	660	697	1163
SNU56	734	874	955	873	1053	1059
PEX5	1413	1793	1736	1894	2006	2563
MNN10	2181	3747	2869	4040	4172	6835
CHL4	368	632	503	540	504	748
RMD5	659	774	844	610	602	770
RKM4	827	1497	1031	1747	1714	2325
YAP6	183	163	198	193	219	318
SWM1	409	670	555	674	741	860
DIN7	199	238	212	242	292	462
PEX10	487	783	748	683	787	890
MSW1	628	742	690	411	426	528
PMP3	13213	31851	20865	17581	18246	21641
MTH1	493	521	618	326	303	493
RNH202	450	646	537	444	439	678
GCN2	3384	4967	3800	4085	3992	4728
DPP1	1590	2509	2023	1669	1840	2027
YDR290W	0	0	2	1	1	13
SSD1	4234	4832	4298	3999	4425	5966
DPL1	3368	4265	4136	4446	5078	5923
HDA2	740	1119	897	873	929	1377
MHR1	825	1391	1272	803	951	1366
SUR2	1614	1959	1572	2500	2790	3312
ATP5	1155	1791	1337	2077	2066	3195
CFT1	2373	3232	2652	2920	3201	4468
CPR5	5965	7669	6875	6725	7658	9285
HNT2	651	941	782	705	733	848
SRB7	535	715	716	670	716	803
IPK1	339	434	490	297	338	349
MCM21	495	841	672	725	674	991
YDR319C	225	327	324	310	313	338
SWA2	899	1044	1029	911	1125	1249
DAD4	189	232	267	270	312	729
TIM11	704	1842	1391	1846	1674	2101
MRPL35	971	965	1028	792	1031	1333
PEP7	418	530	464	498	506	691
YCG1	1279	2045	1540	2125	1990	3059
SKP1	3626	4705	4306	3286	3900	5369
PEX3	1299	1800	1512	1471	1466	2427
MSN5	2628	4060	3108	4085	3849	4767
FCF1	666	670	872	1118	1303	1838
YDR341C	7349	9991	7816	9977	11889	12908
SVF1	5510	9109	6629	7746	8294	10288
ATP22	973	1493	1349	1394	1339	1649
SPC110	2493	3498	3232	3022	2466	3585
CNL1	318	532	445	398	478	554
EAF1	1833	2677	2113	1870	2003	3085
TFC6	1016	1630	1363	1346	1359	1706
SEM1	3063	4033	3881	4375	4556	5670
CDC40	593	976	856	1014	1028	1291
VPS74	3092	3742	3578	3454	3524	4440
YRA1	10868	11084	10016	11943	11973	24064
RPP2B	13618	20695	18300	28099	31219	58003
MUS81	788	1100	1001	756	826	1037
UBA2	1198	1702	1290	1340	1463	1923
SHE9	1005	1497	1161	1137	1071	1601
RPT3	5542	6476	5577	4894	5764	6637
SXM1	2974	4049	3018	4656	4986	6366
NCB2	1223	1845	1655	1136	1046	1319
HPT1	3096	5710	4440	3391	3606	5868
DIT2	14	10	13	10	18	24
RPB7	546	840	739	752	824	1708
MRP20	1601	1665	1836	1207	1417	1996
YDR406W-A	60	27	28	13	15	62
SIZ1	309	374	339	258	292	463
ERD1	524	775	555	561	563	770
SYF1	1020	1732	1300	1814	1870	2316
RPL12B	11172	14597	12705	17280	20260	29349
RAD30	941	1285	1093	1110	1315	1741
CAD1	1379	1803	1859	1120	1447	1509
DYN2	833	1412	1191	1281	1425	1542
CYM1	2077	3556	2658	1919	2152	2612
NPL3	4932	4426	3991	4846	5405	8351
YDR433W	498	518	467	697	802	1372
DOT1	1395	2040	1683	1958	1818	2739
SSN2	1216	1442	1296	1291	1474	2115
RPS17B	2746	4156	2859	5646	5716	9074
ADA2	944	1399	1199	1228	1261	1827
RPS18A	15688	20655	17962	24265	27240	25935
PPN1	6188	10252	7895	7054	6649	10750
TSA2	198	247	263	88	104	178
GUK1	3602	4833	3978	4354	5405	5357
NHX1	1520	2210	1862	1675	1706	2146
TFB3	795	1270	1004	1234	1162	1558
MRPL28	998	992	1266	716	958	939
STP1	1982	1980	2224	1841	1912	2794
SDC1	1055	1381	1357	949	1065	1151
RPL27B	8450	12069	9783	14678	15862	27614
PRP3	706	1368	1072	1147	1084	1174
JIP4	1495	2160	1870	1282	1288	1934
SNF1	3879	5406	4441	3794	4187	6620
DIG2	481	458	457	493	467	768
PHO8	3305	4245	3239	1824	2126	2574
KRE2	4058	5104	4333	4713	5688	5743
VPS52	710	1034	1015	928	945	1110
VPS72	1647	2147	2004	2413	2513	3159
VPS60	1224	1671	1517	1366	1472	2002
SLD5	202	203	206	240	249	414
MZM1	335	452	486	265	339	365
VPS3	1014	1526	1402	1154	1066	1542
LCD1	928	1338	1090	1059	982	1516
RPL37B	5776	7700	7532	9382	12356	12008
SAM2	6203	7967	5774	5008	6234	6763
PSP1	2687	3389	2892	2007	2004	3347
GIN4	3472	4699	3704	3452	3793	4840
GRX2	2458	2261	2746	2658	3058	4487
SLF1	885	1134	1134	880	900	1398
FPR2	1273	2604	1896	1557	1813	1907
URC2	758	1209	1008	1226	1189	1326
AGE1	631	818	725	675	674	1021
YDR524C-A	6	13	11	10	10	9
YDR524W-C	604	564	618	660	757	1030
QCR7	2527	2857	2576	3226	2824	4531
PAD1	542	755	628	578	615	806
YRF1-1	0	0	0	0	0	0
GIM4	966	1060	1196	1208	1179	2013
VAB2	218	305	324	241	238	388
YEA6	893	1416	1186	950	1061	1154
MIT1	827	716	700	489	515	679
GCN4	3749	4323	3678	4562	4331	9963
GLC3	2441	3259	3282	1333	1317	2179
UBC8	653	983	1021	456	502	798
VAC8	3051	4541	3683	4574	4604	7697
EDC3	2384	3528	2769	4548	4984	5885
MMS21	142	134	139	122	111	191
YEL025C	746	1215	914	1058	974	1292
VMA3	13274	17982	13708	24029	26507	26969
ECM10	252	353	321	610	550	1077
SPF1	11815	17402	12536	16398	19586	23385
HYP2	8461	11079	8591	10344	12734	17851
ANP1	1816	2065	1704	2309	2547	4814
CYC7	419	521	583	148	150	197
UTR2	5846	8503	5269	7933	8814	10740
YEL047C	3480	3227	2978	2494	2787	3827
MAK10	792	1176	909	1054	1057	1487
RPL12A	9443	14639	10475	18369	19740	30294
PCM1	2616	4626	3351	4076	4451	6241
HHY1	5	5	3	4	6	5
PRB1	8245	8272	8845	3498	4451	5796
CIN8	2176	2828	2534	2169	1943	2450
SIT1	6416	8725	8878	3503	5472	4516
YEL075W-A	0	0	0	0	0	0
PMI40	4730	5141	4610	3995	4976	4768
YND1	843	1128	1009	1266	1357	1889
TMA20	1115	1549	1347	1504	1628	1900
SEC3	3232	4482	3769	4508	4485	5515
TIR1	391	245	188	70	128	185
FAA2	556	732	606	842	934	1188
BIM1	971	1689	1313	1771	1819	2475
AFG3	1914	2510	2336	2426	2764	4255
SBH2	1780	2165	2181	2316	3022	4590
GPA2	1189	1546	1522	1025	1021	1680
RPN3	4060	5621	4846	5712	6043	7884
SRB4	1207	1737	1487	1658	1694	2120
PRO3	4076	5591	4758	2933	3333	4600
GCD11	7752	10885	8282	12951	14216	16710
CHO1	7447	12050	10780	8842	9840	10795
GAL83	2084	2507	2101	2212	2411	2273
SMB1	612	933	762	801	864	1083
YPT31	1359	2659	2037	2293	2424	2941
FIR1	626	594	574	549	531	849
KRE29	191	281	243	357	325	444
HVG1	68	77	82	26	46	55
MXR1	667	1001	880	803	850	828
ERG28	331	316	365	189	284	373
JHD1	528	967	795	896	884	1162
HOM3	1936	2241	1857	1269	1471	2027
FCY2	2552	3847	2964	3974	4303	6239
RPL34A	13576	17513	12387	20753	25912	25708
HMF1	3012	4307	4794	2343	2728	2443
HOR2	3942	3706	3749	1027	1145	1966
MOT2	1616	1696	1652	1499	1782	2394
RNR1	5231	6769	5598	5417	6377	7867
VTC1	4723	10519	6381	3528	3849	3850
