gene_name	wt_1	wt_2	wt_3	del_1	del_2	del_3
BUD32	1165	1568	1380	1885	1993	2335
MES1	5331	7836	5624	9532	10698	13497
EFG1	625	836	806	1336	1354	1602
TAF1	1867	2653	2305	2973	3155	4072
RNH70	1467	1933	1787	1672	1914	2102
PXR1	320	684	396	1249	1280	1422
YOR1	7105	11183	9391	7802	8288	10724
ZUO1	13474	14471	12379	18704	23765	24453
MAL13	267	308	292	292	267	418
MAL11	183	303	205	430	405	637
MAL12	9	5	4	3	8	3
YRF1-3	0	0	0	0	0	0
RPL14B	3379	7536	4619	7028	6931	6880
ETP1	837	1363	1067	1020	1170	1517
YLF2	414	607	575	333	320	405
RPS20	12577	17501	14714	24060	28425	34830
AIM17	909	856	888	259	335	505
NPR3	1384	1786	1546	1536	1479	2365
RIM101	4316	5955	5021	6849	6130	4310
WSC4	506	376	389	212	198	488
RPL8A	13732	14527	13308	3633	4151	4373
SBP1	12458	16338	13990	15341	16395	20595
ARN2	7396	7198	11786	2998	4408	5213
GPA1	3221	4357	3524	4269	4066	5010
TIM10	1358	2196	2140	1571	1663	2602
ERG11	10670	13769	11508	14168	14820	18442
TDA3	2458	3423	2842	2099	2206	4076
RPL27A	12045	17438	14073	23724	25702	31988
VPS29	1400	2285	1799	2026	2150	2498
ARD1	1345	1799	1532	2170	2608	3017
YSC84	1158	1787	1601	927	929	1940
DED81	15719	18766	15146	14833	17377	19823
RPS27B	4417	5935	8749	10278	12671	12544
MAS2	2261	2963	2535	2021	2153	3267
VMA16	2432	3971	2890	5407	5427	6014
RPN1	13669	19696	15409	18114	18888	26168
DAP2	4003	6249	4900	3583	3481	4956
SLT2	2172	3143	2675	3782	4152	6050
RRM3	1078	1457	1108	2060	2132	3186
PIH1	525	729	606	665	660	1304
RRF1	252	312	355	225	187	318
VMA10	5278	5562	6627	8792	8703	23391
SRB2	337	476	438	333	403	839
NCP1	3167	3189	3010	2340	2784	4236
DOG2	969	1635	1113	1320	1347	1996
DOG1	114	173	120	85	101	159
AAP1	3255	3894	3627	2805	3568	3442
CIC1	2434	2962	2508	4300	4771	5635
CUP1-1	0	0	0	0	0	0
CUP1-2	0	0	0	0	0	0
CPR2	1624	3161	2548	2401	2402	2938
VMA22	460	943	816	700	680	917
SSZ1	11104	13059	10826	14995	17464	23618
HTD2	469	840	703	428	419	630
PPE1	361	567	545	345	398	626
NMD2	2545	3670	3144	4626	4482	6004
IRE1	1091	1386	1233	1236	1189	1673
SAE3	1	2	2	2	1	2
LRP1	904	1595	1204	1844	1833	1853
SAM35	1057	1324	1366	1296	1270	1864
NAM8	701	755	758	622	607	983
YNG2	676	990	797	940	976	1139
MSR1	848	1389	1128	1049	1032	1686
HXT4	295	575	361	401	369	536
HXT1	2116	2467	2296	5245	6487	7168
SFB3	3436	4353	3553	3274	3616	5221
KIC1	1693	2142	1924	2129	2036	3131
CDC12	3329	4255	3439	2884	3170	4374
UBA4	723	867	874	763	862	1316
BZZ1	2122	2536	2187	2107	2223	2927
DMA1	1281	1414	1185	1540	1807	2523
TOM71	3311	4096	3606	3375	3897	3681
SET1	1969	2616	2195	2667	2762	3239
YHR127W	569	740	747	637	733	947
ARP1	535	942	687	567	551	773
YCK1	2282	2184	2036	1519	1700	3197
RPL42B	2113	2944	3148	3787	4629	5423
RPC10	1989	3205	2675	3668	4613	3633
MRPL6	1189	1966	1697	915	1159	1255
RTT107	2425	3279	2782	2577	2479	3145
LIN1	213	278	355	334	269	490
DNA2	1287	2096	1718	1946	1987	2590
PRP8	5189	7937	5872	8620	8879	12402
NMD3	5712	8596	6659	10724	11933	14874
ATG7	502	993	729	418	424	619
ENO2	114028	128932	95876	96199	126755	181519
YHR177W	62	42	45	25	33	48
OYE2	9791	13658	10835	8732	10639	13606
SVP26	846	1009	985	899	1095	996
SSP1	60	59	51	166	179	183
PFS1	3	5	1	2	5	5
KOG1	2200	2977	2425	2673	3037	4173
IKI1	539	867	707	959	1039	1482
PTH1	298	296	294	233	230	456
NVJ1	997	1422	1345	1228	1280	1871
RIX1	1246	1986	1360	2734	3094	3539
AIM18	400	533	465	290	300	271
AIM46	710	977	881	879	968	1761
NBL1	154	194	187	237	293	327
RPN10	2319	3449	2912	3086	3381	6097
RPS4B	7513	10806	9643	13200	14658	21887
MNL1	1162	1620	1215	1505	1475	1988
SCH9	1427	1636	1286	1575	1757	2495
SKN7	757	879	755	776	760	1489
BAT1	6553	6919	5119	9834	11481	15299
PHO12	862	1395	470	55	65	112
IMD2	1743	2307	1367	4191	4998	5946
INP51	1675	2546	2037	1866	2030	2499
CFD1	498	608	524	459	490	702
BET1	653	1206	1060	1008	1155	940
YIA6	264	303	319	214	200	335
TIR3	65	65	36	40	53	77
YIL014C-A	158	301	368	154	143	244
BAR1	87	77	59	57	72	70
VID28	1700	2337	2055	1538	1426	2221
RPL2B	10734	13536	11151	19563	24145	36694
RPB3	2611	3747	2785	3625	3717	3977
TIM44	2155	3428	2497	2739	3220	4659
IRR1	2577	3231	2700	2813	2954	3801
KRE27	684	1060	886	1267	1360	1942
SSM4	4359	6296	4988	6038	6775	8458
ULP2	1143	1240	1210	1169	1151	1590
BCY1	1344	1657	1374	1075	1186	2051
CKA1	1588	2479	1996	2615	2573	2369
CST6	2616	2614	2757	1875	2052	3305
CBR1	2794	3686	3187	3497	3803	5161
AGE2	1503	2073	1827	2084	2117	2168
MET30	815	991	868	1520	1596	2690
MMF1	3414	3434	3824	2955	3727	3735
RPL34B	6909	9481	6924	13298	15757	24993
RHR2	22868	31789	24758	11500	14072	16690
SNP1	418	476	583	421	507	863
FIS1	1131	1878	1529	1131	1200	1718
RNR3	297	331	322	134	133	253
RPS24B	5808	6287	4793	7089	8878	6235
PCI8	546	891	737	545	532	792
SPO22	56	62	69	253	225	340
RPN2	9662	12315	9687	14405	15373	19549
SEC28	1719	2285	2006	2117	2487	2572
THS1	22152	32324	24064	30882	33939	37861
AIM19	872	919	1086	531	586	595
LYS12	6413	8032	6430	4371	5189	5456
PRK1	673	811	796	761	833	1167
FYV10	526	607	642	470	522	602
DPH1	601	996	672	1356	1550	2251
SLM1	1001	1335	1170	1361	1461	2159
PFK26	2433	3377	2834	1951	1835	2698
SEC24	4453	5358	4318	5349	6230	8692
HPM1	597	933	703	1236	1282	1695
POR2	900	1270	1102	1508	1762	2014
NUP159	3408	4192	3769	4467	4682	5876
AYR1	1600	2066	1765	1567	1669	1924
KGD1	6985	9395	7437	7108	7568	11326
STH1	6740	9619	7734	9602	9389	12268
MET18	1658	2291	1851	2412	2453	2900
TAO3	4106	5627	4629	5524	5680	7146
RPL16A	7761	10654	9635	12810	14720	26180
TMA108	2754	3545	2882	3119	3542	5042
TPM2	2538	2964	3619	2026	1943	3068
AXL2	731	790	526	510	601	842
CCT2	4437	6468	5045	7917	8714	13293
SSL2	2387	3069	2663	3608	3886	5070
TID3	1176	1653	1358	1480	1375	2008
ATG32	356	368	397	322	351	505
SLN1	3238	4551	4052	3843	3853	5056
RPL40A	7690	8250	10209	11803	14379	19238
MCM10	444	455	483	558	584	978
RRD1	608	745	752	606	694	1185
IMP2'	1249	1524	1355	943	1177	1909
COA1	1521	2267	2453	1223	1394	1972
POT1	35	44	62	41	46	103
YIL169C	24	18	25	26	34	113
YIL171W	0	0	0	2	2	3
SGN1	409	510	440	289	345	487
DJP1	3220	4799	4020	4722	4748	6260
IST3	208	196	215	191	205	243
PAN1	7464	7304	6761	6527	7229	11520
MSL1	248	410	290	354	383	485
STS1	824	1103	914	1292	1503	1661
MUC1	21	15	16	14	14	27
YIR020W-A	0	0	2	1	1	1
MRS1	315	499	352	369	440	580
DAL81	1177	1296	1117	1126	1247	1831
YIR024C	444	721	598	608	613	764
DAL2	190	331	259	309	301	340
DAL7	460	673	526	716	688	892
HYR1	1427	1916	1784	1402	1402	1781
PRE3	4358	6344	5192	5345	5574	7042
OST1	4768	7035	5456	6225	7140	8974
CYR1	3656	4768	4017	4569	4413	6541
RPC17	272	415	426	460	519	641
VTC4	7443	13191	8239	5469	6166	7269
CCT3	6776	11290	7614	11980	13603	15390
YJL016W	1028	1261	1187	1057	1114	1635
MPS3	854	1202	958	790	796	1186
BBC1	5030	5371	5071	3055	3527	5038
APS3	976	1305	1015	1263	1409	1566
RNR2	4275	3908	4188	3678	4316	7015
HCA4	2872	3783	3124	6289	6883	9781
KAR2	19176	27699	20118	19277	21461	23971
SNX4	987	1435	1287	1069	1105	1737
LOH1	5	6	10	9	8	7
YJL045W	28	33	26	16	12	25
AIM22	1105	1323	1326	990	1099	1214
RTT101	950	1252	1071	1054	1193	1478
UBX6	721	1079	910	754	794	1171
MTR4	5427	8158	5924	9754	10785	12152
TDH1	5182	4823	6261	372	686	819
PEP8	1019	1198	1240	816	863	1151
ZAP1	532	556	482	421	403	682
YHC3	227	365	372	244	253	408
NUP82	1654	2173	1717	2574	2599	2744
LAS21	1042	1098	977	896	998	1429
COA3	683	861	947	468	515	643
MRPL8	743	1097	990	722	754	1320
ARG2	419	545	546	410	376	629
PSF2	573	731	584	701	785	595
JEM1	872	853	842	746	806	1134
NET1	5410	6538	5271	5554	5967	9927
ARP4	1940	2585	2388	2364	2555	3561
ALY2	597	616	614	556	586	882
TRL1	1429	2483	1752	2787	2805	3337
ARG3	226	211	256	28	146	54
SRS2	2319	3273	2699	2496	2607	3912
TOK1	1194	1762	1619	1247	1332	1885
BCK1	1281	1430	1115	1215	1221	1963
MRPL49	755	1181	1093	704	776	817
CHS6	950	1404	1210	1782	1781	1980
PAM16	1579	2401	2379	1624	1876	2632
IME2	141	171	172	146	120	236
GZF3	1135	1430	1276	1402	1429	2040
CCT7	3674	8266	5254	7599	7911	8831
MDV1	1244	1753	1598	1337	1276	1590
ASF1	542	1553	867	1162	1177	1186
RPE1	772	986	941	986	1365	1662
LSM1	1900	2989	2449	2422	2354	4175
GCD14	781	1189	757	1332	1532	1947
SPT10	539	862	752	858	811	1200
YJL127C-B	220	302	289	326	298	596
YJL127W-A	0	3	7	1	4	2
PBS2	1831	2577	2191	1885	2027	3379
LCB3	682	1253	800	897	959	1436
RPS21B	2285	2415	2222	2385	2742	4999
TIF2	1856	2249	1693	2664	3175	5213
RPB4	2427	4487	3846	4101	4258	5656
TIM17	1015	2843	1683	1791	1754	2379
RPA34	1161	1917	1312	3640	3635	4554
INO1	770	1164	771	259	348	399
VPS35	3751	4622	3923	4579	4643	6232
CIS3	4041	4241	4390	1812	2230	3124
HSP150	18055	19713	19895	16765	20208	29609
TPK1	1768	3092	2595	1100	1127	1756
QCR8	1199	1732	1916	1781	1836	2057
ERG20	10018	12082	11183	3363	3645	4310
SET2	1586	2729	2019	2688	2604	3723
RFA3	1154	1707	1459	1160	1335	1500
SWI3	3334	4413	3633	3626	3630	5145
RPL17B	11508	14120	12286	16991	18840	25963
ATG27	1926	2768	2396	2382	2688	3218
PFD1	687	767	846	981	1152	962
GON7	2124	2386	2830	1716	2075	2808
SWE1	946	1230	1065	956	1002	1430
RPL39	9283	6061	11085	14568	15136	38072
RPS22A	21749	31845	23600	36287	44475	38390
RPS14B	2383	3111	2978	3070	3696	4907
PRP21	338	652	488	537	525	812
NCE101	488	467	759	533	655	592
PEX2	533	965	941	915	886	1156
OPT1	581	660	545	1733	1948	2834
IMA4	0	0	0	0	0	0
SAG1	10968	14493	9090	10144	10384	14808
APL1	2280	2732	2363	2045	2234	2706
POL31	841	977	966	1189	1311	1715
TDH2	30068	36445	40357	13249	18723	18581
GPI14	1366	1922	1600	1361	1311	1645
TMA22	3449	3700	3857	4189	5139	4925
ESS1	2358	3137	3287	2016	2467	4401
TES1	224	319	291	172	250	405
REC107	525	754	718	569	574	962
BNA1	2399	4023	2937	920	1061	1095
RAV1	1578	1967	1747	1266	1388	2047
GEF1	1966	2871	2241	2347	2664	2836
URB2	1255	1750	1265	2621	2787	3203
NUP85	1384	2296	1908	2852	3087	3345
SSC1	27838	30569	25201	15101	17197	24807
TAH11	1341	1705	1522	1996	2061	3507
ANB1	87	89	82	91	110	256
CYC1	294	328	316	252	277	294
ISY1	992	1447	1162	1144	1025	1501
OSM1	2036	3080	2156	2078	2025	2308
BFA1	452	593	536	560	576	896
APS2	610	1248	1004	953	958	1479
PTK2	2311	3017	2623	2367	2299	3692
CBF1	1859	2617	2230	2148	2244	2770
NTA1	953	1519	1250	1169	1213	1403
RPA12	545	781	623	1215	1425	1718
CCT5	3793	5345	4273	7382	7729	12728
ARP3	3764	5395	4308	4553	5058	7221
TOR1	4137	5447	4511	4559	4661	5904
LIA1	1980	1915	1689	3689	4151	7020
NPA3	2701	3412	2904	4313	4926	5863
OPI3	2768	4944	3729	1950	1876	3153
CDC11	3760	4464	3941	4437	4621	6670
MIR1	1003	1093	1191	1327	1622	1820
AIM24	1594	2271	2067	1258	1322	1959
YJR084W	435	595	567	791	862	1097
GRR1	2229	3136	2549	3237	3322	4414
JSN1	1471	1289	1303	982	1034	1840
RPL43B	2039	2380	2250	2898	3573	7447
SFC1	15	10	37	21	19	20
JJJ3	174	326	219	374	356	491
VPS25	568	803	748	621	569	772
SOD1	18340	27780	19643	25255	27771	36471
YJR114W	9	9	10	11	18	42
STE24	1185	1202	1222	932	1271	1517
JHD2	258	327	372	287	296	324
IBA57	484	698	682	297	336	554
RPS5	34614	43427	33907	42795	50063	51019
RSF2	1059	1312	1159	1292	1112	1909
NMD5	2408	3397	2588	4306	5132	5725
MET5	1660	2353	1755	1504	1608	2082
IML1	1902	2771	2329	2305	2411	2581
HIR3	1913	2780	2192	2546	2564	3341
MGM101	1566	1817	1660	1680	1704	2432
RPS4A	11998	16433	16112	21389	25055	32326
BAT2	1227	1506	1668	846	997	1160
DAN1	2	2	4	3	6	7
DAL5	120	218	179	207	199	330
PGU1	44	39	34	39	64	64
SOR1	2	1	1	1	1	0
DID4	1977	3398	2882	2353	2272	3545
RPL14A	8751	17537	11664	17602	19702	18407
LAC1	2477	3050	3100	1708	2234	2355
CCE1	373	451	448	336	321	483
URB1	4800	5965	4886	8827	9131	10464
HCS1	767	903	806	849	825	1126
SWD2	421	447	463	544	699	807
URA6	918	1300	932	996	1007	2043
PAN3	1211	1404	1253	1227	1300	1773
IXR1	1497	1293	1230	1123	1278	2278
TTI1	980	1516	1162	1331	1359	1759
NFU1	1685	2395	2191	2528	2886	2580
VPS24	177	707	336	672	608	539
ELM1	888	1143	1051	1148	1138	1468
CSE4	549	829	788	742	646	776
DEF1	8504	8786	7243	7572	8768	14077
TMA19	11621	15606	12690	22951	25345	31548
NUP120	1448	2123	1850	1982	2335	2568
FBA1	148862	185015	153266	112586	132807	193011
YNK1	7780	16177	10851	4765	5115	5237
NUP100	1809	2034	1741	2106	2301	3519
YKL069W	663	941	944	570	651	622
LHS1	4376	7004	5097	5333	5895	6821
VMA5	5367	8878	7026	8893	10230	12668
TEF4	19739	24590	19538	27486	33052	43434
CYT2	838	1228	1213	884	1008	1482
YKL091C	736	993	925	462	449	734
BUD2	1535	2165	1854	1815	1812	2249
YJU2	428	621	570	670	639	923
CWP1	2332	2362	2007	2032	2237	3449
CWP2	19091	23595	23171	16994	20405	25333
HSL1	3376	3929	3198	3201	3146	4178
LAP4	3910	3965	3854	846	1019	2081
SLD2	679	983	840	896	1039	1297
KTI12	1171	1575	1366	1545	1747	2589
ABF1	2215	2733	2148	2770	2684	4420
RAD27	1663	2455	1963	2151	2287	3281
VPH2	801	927	894	826	865	1459
SSH4	731	1090	1114	643	654	911
YPK1	3380	5157	4231	3641	3923	4772
1-Oct	714	1069	928	923	915	1139
MRPL31	1425	2300	1786	1080	1147	1411
TGL1	1564	2318	1959	1267	1372	1828
SDH3	2037	2132	2344	2143	2217	3036
MRP8	3014	3678	3823	2438	2762	3071
LTV1	1822	2959	2338	3996	4115	5125
RPC25	548	954	695	972	1025	1379
RPT1	8293	13314	10911	8710	9408	13439
SDH1	1638	2109	1797	1370	1407	2245
DBR1	604	883	686	871	969	1269
RPS27A	7346	6057	8170	10256	13551	14005
APE2	8014	11048	8998	5572	6402	8276
KDX1	480	607	663	1417	1375	1683
PIR3	62	93	78	133	179	199
PIR1	3456	3890	3637	2692	3398	3504
MCD4	1920	2767	2256	1892	2180	2716
MRPL38	629	924	869	543	559	852
SNU114	2740	3604	3074	4715	5444	5431
STE3	9695	14837	10886	11563	11860	15205
RPL17A	17578	24146	18626	31181	34033	43321
PRS1	3667	6922	4644	8448	9290	11879
SPE1	2806	4405	3344	4306	4875	7274
PXA2	254	395	444	349	304	505
CNB1	1892	2978	2476	2278	2300	2388
SDS22	2081	2248	2264	1151	1289	1327
MIA40	5927	8023	7468	4151	4329	5805
PEX1	1214	1824	1497	1439	1507	2001
PTK1	307	255	262	185	243	410
MNN4	297	485	373	557	520	746
TOR2	3331	4597	4097	4095	4174	5188
ADD66	775	1296	1203	1242	1390	1383
AIM27	1868	2970	2530	1962	2247	2757
CBT1	257	277	292	203	238	258
SAC1	5233	7029	5359	6709	7085	8676
DOA1	1479	2232	1803	2226	2082	2977
VPS1	6855	9310	7709	4881	5613	6101
ECM9	320	325	392	257	260	332
MRPL13	1754	2080	2090	1452	1715	2926
MEH1	1473	2063	1734	1253	1384	1923
FOX2	207	248	248	258	198	430
YKR011C	710	646	749	356	458	425
PRY2	2430	2330	2020	1600	2005	3152
FCJ1	2838	2955	2811	2871	2864	3278
VPS51	532	806	813	544	596	697
ALY1	643	825	679	556	626	967
RPC37	652	1351	870	1689	1734	2526
GCN3	1124	1508	1222	1753	2202	2590
BCH2	894	1286	1044	1187	1195	1528
GMH1	980	1517	1208	1369	1385	1666
SPO14	3524	5383	4321	4211	4114	5538
DAL80	11	12	13	9	10	13
DID2	1932	2796	2575	2340	2596	3172
TRK2	626	837	671	910	939	1567
YSR3	144	189	141	238	268	481
DYN1	3599	5731	4256	5910	5658	6528
TRM2	1329	1760	1287	2167	2317	3285
RPS21A	3258	5124	3764	7979	9399	9702
TIF1	1130	1066	1133	1404	1878	1692
PAM17	486	605	708	373	456	586
GPT2	2020	2437	2150	1095	1094	1441
MET1	438	659	562	558	607	1012
SIS2	2279	2920	2274	2468	2908	4589
ECM4	821	1095	1229	418	452	659
NUP133	2823	3763	3005	4227	4638	6046
DAD2	518	962	770	712	675	797
MRPL20	1974	2184	2656	1617	1953	2435
PRP16	1133	1341	1191	1710	1660	2559
TGL4	3917	5375	4782	5334	5288	8000
RPL40B	7116	8445	8945	12028	14557	18021
MLP1	9172	12728	10964	12315	10002	15367
PCK1	66	95	88	211	111	192
SKG1	1451	2261	1825	2236	2393	3531
YKR104W	71	134	83	160	130	184
RTT109	620	844	670	799	881	1067
MMM1	479	678	525	540	552	682
YLL017W	11	19	19	13	19	17
DPS1	9024	11197	9107	9349	11188	14786
KNS1	673	707	729	528	480	927
SPA2	4347	5321	4427	4809	4875	6194
SSA2	55918	57244	46750	45952	58107	52247
FRA1	5567	7582	6728	5134	5775	7011
GPI13	2030	2893	2456	1937	2298	3109
IRC19	166	221	209	157	170	179
PRP19	1235	1702	1459	1857	2113	2947
UBI4	5500	5986	6108	3418	3300	4001
VPS13	10927	15193	11759	9747	10545	12340
SDH2	1196	1541	1303	1457	1381	2246
ATG10	28	40	51	42	46	57
RPL8B	32571	38027	32185	57844	70326	70692
YBT1	10093	13321	10193	13454	14896	17371
COF1	4551	3408	5120	3647	4789	4754
YLL065W	0	0	0	0	0	0
PAM18	735	998	903	1036	1091	1680
BRE2	627	1043	771	1089	1104	1450
IRC25	916	1028	1037	982	1119	1319
SNF7	1145	2217	1782	1897	1811	2252
AAT2	7377	9335	9344	4795	5604	8548
RPL15A	40095	46667	40672	54249	62915	90052
RAD5	1073	1425	1147	1547	1612	2174
PAU23	27	33	31	38	23	81
TRX1	3505	3253	3622	4096	5433	6408
YLR046C	150	235	178	127	116	185
RPS0B	40502	49076	38131	58528	61371	90960
ERG3	5884	8832	6028	4005	4976	6768
SHM2	9435	10243	9949	2234	2927	3851
REX2	729	862	750	800	943	2156
FRS1	7502	8892	7353	9450	11110	13136
RPL22A	17195	18688	17520	20239	26542	16361
RGR1	2153	2930	2497	3371	3508	4854
RPL10	18749	25459	18595	27713	31812	46070
FMP25	1166	1685	1634	1146	1240	1865
BOS1	714	965	942	900	1022	1474
SIC1	2218	2756	2634	2319	2581	3608
EMP70	2461	4377	3158	4657	4861	6319
GAA1	2030	2817	2484	2499	2714	3171
GEP5	255	361	296	301	337	536
NYV1	1900	2580	2327	2176	2073	2896
CHA4	446	621	614	625	599	992
CDC45	993	1406	1126	1362	1358	1797
SEN2	1014	1604	1438	1196	1241	1980
MDN1	10727	15223	10790	22426	26188	26882
AHP1	25593	35235	34331	25282	32922	37534
HOG1	3771	4396	4096	3222	3549	6275
CFT2	1163	1592	1243	1500	1448	2051
MSL5	487	574	512	601	670	1084
CLF1	1490	2619	2086	2733	2533	3165
YLR118C	1295	1936	1805	1667	1826	1983
SRN2	440	487	623	555	592	938
YPS1	1410	1856	1624	1478	1631	2467
YPS3	488	491	402	433	568	922
APC2	640	770	792	754	787	1204
DIP2	3060	5248	3487	9008	8771	10671
TIS11	1527	1474	2379	420	722	790
ACF2	541	779	587	657	743	928
SMD3	676	897	913	1406	1775	1923
PEP3	1152	1631	1381	1456	1458	1766
STM1	29462	36531	29229	44708	51532	85954
RNH203	355	550	461	551	536	1012
YLR154W-A	22	0	0	0	0	728
TAR1	17	4	0	0	0	328
ASP3-1	0	0	0	0	0	0
ASP3-2	0	0	0	0	0	0
YLR157W-D	0	0	0	0	0	0
YLR157W-E	0	0	0	0	0	0
ASP3-3	0	0	0	0	0	0
ASP3-4	0	0	0	0	0	0
MAS1	1576	2113	2039	1282	1383	2225
RPS31	40560	60063	45685	69735	69725	95545
UPS2	653	1011	1112	632	616	914
APS1	889	1283	1017	965	972	985
RFX1	289	300	295	225	304	354
TFS1	837	755	1034	294	373	864
SAM1	6228	5689	4886	5998	7284	13173
SWI6	1948	3080	2453	2600	2669	3328
RPL37A	10731	11161	14268	15005	19797	19384
EMG1	906	1461	1113	2027	2127	2963
ATG26	2467	4298	3379	2371	1912	3107
PEX13	1274	1600	1437	1310	1371	1788
NMT1	1877	2708	2313	1984	2256	2860
NOP56	12367	16525	12943	25481	25909	37275
PBA1	469	732	615	566	653	838
YKE2	1149	1822	1544	1609	1827	2438
COQ9	728	837	931	746	811	791
QRI5	2084	3408	2739	1703	1987	2031
SEC13	1728	2716	2126	2518	2670	3699
CPR6	4186	6882	5531	4531	5014	5125
COA4	924	1922	1414	597	611	615
BUR2	571	838	727	903	910	1327
TOP3	150	223	159	209	215	348
THI7	618	676	659	570	645	1044
VPS34	1096	1386	1387	1293	1406	1878
RCK2	3003	5189	3786	3341	3588	4985
YEF3	123827	162496	109991	197143	218840	266029
HAP1	4840	5516	5322	4767	5224	7430
HSP60	12120	17191	14090	7290	8386	12402
TMA7	1738	2408	2307	3019	3718	3385
RPS28B	2375	3745	2767	8511	9356	6133
NEJ1	261	507	447	450	411	643
SEC22	630	850	842	766	857	1072
DCS1	2313	2587	2594	905	1001	1491
YCS4	1480	2259	1723	2154	1989	2423
MCM5	1639	2235	1807	2764	2792	3390
SMD2	407	715	647	809	780	1115
YSH1	1116	1599	1251	1539	1771	1888
RPS30A	33128	40611	39448	44876	51904	36467
MEC3	564	904	705	755	779	999
SEC72	1966	2964	2471	2402	2739	3288
GSP1	12089	12084	10071	17067	19418	26444
YHC1	832	1034	997	1092	1181	1902
ECM38	1586	2297	1918	1652	1655	2579
EXG1	11044	18726	13625	12277	13510	16610
MET17	1416	1486	1402	529	807	725
ACO1	32867	39832	38751	15722	19059	20977
IMH1	2527	4015	3466	3372	2716	3784
CDC25	2838	3749	3323	3832	3947	5116
YLR312C	133	167	173	82	87	159
MRPL15	606	892	686	675	660	943
SPH1	291	368	326	451	416	626
EST2	235	338	287	482	476	640
BUD6	1285	1922	1446	1841	1868	2529
MMS22	685	1105	864	1314	1202	1721
RPL38	15837	25853	21278	31259	35937	48482
TMA10	228	218	328	80	73	101
CHS5	5129	7614	6450	6613	6915	9446
MID2	426	599	494	455	547	564
RPS25B	7707	8824	7274	12969	16588	13750
VRP1	539	458	484	420	469	666
RPP0	18111	18668	15945	25919	28672	51719
FKS1	31982	43558	31239	36918	42061	52677
RPL26A	2686	2467	2688	3785	4270	8396
KAP95	1961	2499	1908	2541	2772	3850
ADE13	12545	14954	12132	5423	6466	6463
VPS38	297	451	366	371	411	502
RPS22B	2684	3652	3686	560	680	1103
MDM30	742	1070	1004	819	851	1241
SSQ1	1373	1894	1682	1476	1791	1839
SUR4	3287	4497	3777	6543	7527	6658
FBP1	12	20	17	17	18	40
CSR1	2083	2029	1932	1325	1600	2357
CTF3	294	373	355	351	386	496
NAM2	1331	1879	1458	1275	1323	1987
SMC6	1394	2202	1847	1950	1774	2476
IKI3	5527	8284	5761	10469	11632	15853
SWC7	291	444	358	421	457	317
RPS29A	2472	1367	2446	2970	3520	5787
CCW14	1148	1020	1249	930	1221	1180
CST9	203	253	235	318	383	454
VPS33	1227	1777	1515	1482	1802	1678
AFG2	1197	1980	1528	2665	3199	3972
SFP1	995	1083	1017	932	969	1276
FLD1	303	376	423	346	363	400
RPL31B	9553	14102	11438	15408	17010	17148
BLS1	141	159	186	168	169	144
VPS36	704	965	846	1038	1047	1609
ATG17	418	577	491	426	360	467
SPP382	560	870	801	756	707	943
TUS1	1226	1628	1459	1168	1122	1617
SEN1	4141	5514	4106	5565	6058	8233
ATG23	471	655	646	529	517	780
CNA1	1943	2778	2155	2629	2699	3520
LSM3	537	890	679	1010	1020	1166
CAR2	547	511	524	203	231	502
MRPL4	567	382	374	271	312	432
SEC39	1309	1944	1709	1780	1895	2407
RPS1A	21569	25673	20802	31694	34727	48434
SIR3	1263	1857	1483	1939	1716	2711
ECM7	582	705	632	744	821	1239
RPL6B	20984	20486	17664	24740	28753	22531
GAB1	489	539	512	399	492	622
YRF1-4	5	22	8	15	6	19
YRF1-5	0	0	0	0	0	0
YPT7	1079	1792	1518	1274	1409	2609
TRM12	429	557	487	709	790	853
YAP1	3415	4406	3879	3866	3759	5752
ERG6	5802	8047	6650	6291	6824	10002
MRPL39	5567	6654	4585	2999	3674	2655
YML009C-A	178	336	183	232	238	96
YML009W-B	78	151	127	138	158	167
YML012C-A	5	14	6	10	12	30
UBX2	1463	1869	1751	1373	1518	2065
TRM9	860	1261	1037	1370	1569	2060
TAF11	683	962	788	1039	970	1583
PSP2	3309	4135	3987	3533	3851	5345
RPS17A	8734	10579	10827	16744	20865	17625
YML6	676	852	779	589	673	861
RPS18B	26030	31574	26215	40994	45767	54830
TSA1	9021	9598	8971	4544	5896	8672
YML031C-A	2	2	6	3	6	4
YML034C-A	2	3	11	4	3	11
SRC1	2864	3048	3272	2985	3064	3769
AMD1	3553	4847	3977	2773	3057	3995
VPS71	899	941	999	902	1053	897
CAT2	253	224	315	245	218	341
YML047W-A	0	3	1	3	4	25
GSF2	3053	4978	4015	3705	4019	6422
SPC2	792	1583	1370	1359	1390	2265
YML057C-A	31	29	29	15	34	76
CMP2	2170	2308	2181	2030	2335	3115
PIF1	1502	2222	1758	1833	1808	3039
MFT1	692	1249	925	1070	948	1230
RPS1B	38069	36989	39441	65355	79897	67962
COG8	801	1165	1020	1059	1039	1386
RPL6A	12760	13771	12809	16648	18520	17000
FPR3	6220	10159	6949	11738	12636	15155
CPR3	1489	2272	1929	1536	1679	2089
YML094C-A	4	2	11	12	15	38
GIM5	903	1232	1050	1227	1276	1597
VPS9	985	1540	1178	1350	1282	1783
TAF13	492	1334	837	874	842	1012
ARG81	870	1267	1174	2016	2024	2865
YML099W-A	0	1	2	3	1	16
YML101C-A	12	23	20	22	24	44
URA5	3802	6309	4630	6311	6606	10951
ZDS2	978	1275	1010	1067	1200	1779
